Syntax version=4
Thu Jul 03 13:52:06 2025
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		cur_loadcell	filtered_cur_loadcell	record_flag	weight_variable
D:	time(ms)	(0x20000088,4)	(0x2000008c,6)	(0x20000078,5)	(0x20000084,5)
D:	0.07	498	498.000000	0	0
D:	0.65	498	498.000000	0	0
D:	1.26	498	498.000000	0	0
D:	1.85	498	498.000000	0	0
D:	2.41	498	498.000000	0	0
D:	2.96	498	498.000000	0	0
D:	3.61	498	498.000000	0	0
D:	4.31	498	498.000000	0	0
D:	4.87	498	498.000000	0	0
D:	5.42	498	498.000000	0	0
D:	5.99	498	498.000000	0	0
D:	6.67	498	498.000000	0	0
D:	7.33	498	498.000000	0	0
D:	7.95	498	498.000000	0	0
D:	8.51	498	498.000000	0	0
D:	9.10	498	498.000000	0	0
D:	9.67	498	498.000000	0	0
D:	10.23	498	498.000000	0	0
D:	10.76	498	498.000000	0	0
D:	11.29	498	498.000000	0	0
D:	11.81	498	498.000000	0	0
D:	12.34	498	498.000000	0	0
D:	12.87	498	498.000000	0	0
D:	13.40	498	498.000000	0	0
D:	13.93	498	498.000000	0	0
D:	14.45	498	498.000000	0	0
D:	14.97	498	498.000000	0	0
D:	15.54	498	498.000000	0	0
D:	16.09	498	498.000000	0	0
D:	16.62	498	498.000000	0	0
D:	17.14	498	498.000000	0	0
D:	17.74	498	498.000000	0	0
D:	18.34	498	498.000000	0	0
D:	18.92	498	498.000000	0	0
D:	19.48	498	498.000000	0	0
D:	20.10	498	498.000000	0	0
D:	20.66	498	498.000000	0	0
D:	21.25	498	498.000000	0	0
D:	21.81	498	498.000000	0	0
D:	22.36	498	498.000000	0	0
D:	22.93	498	498.000000	0	0
D:	23.48	498	498.000000	0	0
D:	24.01	498	498.000000	0	0
D:	24.59	498	498.000000	0	0
D:	25.14	498	498.000000	0	0
D:	25.67	498	498.000000	0	0
D:	26.24	498	498.000000	0	0
D:	26.79	498	498.000000	0	0
D:	27.34	498	498.000000	0	0
D:	27.88	498	498.000000	0	0
D:	28.42	498	498.000000	0	0
D:	28.96	498	498.000000	0	0
D:	29.50	498	498.000000	0	0
D:	30.09	498	498.000000	0	0
D:	30.60	498	498.000000	0	0
D:	31.14	498	498.000000	0	0
D:	31.66	498	498.000000	0	0
D:	32.22	498	498.000000	0	0
D:	32.73	498	498.000000	0	0
D:	33.27	498	498.000000	0	0
D:	33.82	498	498.000000	0	0
D:	34.35	498	498.000000	0	0
D:	34.88	498	498.000000	0	0
D:	35.41	498	498.000000	0	0
D:	35.93	498	498.000000	0	0
D:	36.46	498	498.000000	0	0
D:	36.98	498	498.000000	0	0
D:	37.54	498	498.000000	0	0
D:	38.09	498	498.000000	0	0
D:	38.62	498	498.000000	0	0
D:	39.14	498	498.000000	0	0
D:	39.71	498	498.000000	0	0
D:	40.24	498	498.000000	0	0
D:	40.78	498	498.000000	0	0
D:	41.32	498	498.000000	0	0
D:	41.85	498	498.000000	0	0
D:	42.39	498	498.000000	0	0
D:	42.91	498	498.000000	0	0
D:	43.44	498	498.000000	0	0
D:	43.96	498	498.000000	0	0
D:	44.50	498	498.000000	0	0
D:	45.09	498	498.000000	0	0
D:	45.61	498	498.000000	0	0
D:	46.14	498	498.000000	0	0
D:	46.67	498	498.000000	0	0
D:	47.22	498	498.000000	0	0
D:	47.74	498	498.000000	0	0
D:	48.27	498	498.000000	0	0
D:	48.79	498	498.000000	0	0
D:	49.32	498	498.000000	0	0
D:	49.85	498	498.000000	0	0
D:	50.38	498	498.000000	0	0
D:	50.91	498	498.000000	0	0
D:	51.43	498	498.000000	0	0
D:	51.96	498	498.000000	0	0
D:	52.48	498	498.000000	0	0
D:	53.00	498	498.000000	0	0
D:	53.55	498	498.000000	0	0
D:	54.09	498	498.000000	0	0
D:	54.62	498	498.000000	0	0
D:	55.15	498	498.000000	0	0
D:	55.67	498	498.000000	0	0
D:	56.23	498	498.000000	0	0
D:	56.76	498	498.000000	0	0
D:	57.28	498	498.000000	0	0
D:	57.82	498	498.000000	0	0
D:	58.35	498	498.000000	0	0
D:	58.87	498	498.000000	0	0
D:	59.40	498	498.000000	0	0
D:	59.93	498	498.000000	0	0
D:	60.47	498	498.000000	0	0
D:	60.99	498	498.000000	0	0
D:	61.56	498	498.000000	0	0
D:	62.15	498	498.000000	0	0
D:	62.67	498	498.000000	0	0
D:	63.22	498	498.000000	0	0
D:	63.74	498	498.000000	0	0
D:	64.26	498	498.000000	0	0
D:	64.78	498	498.000000	0	0
D:	65.30	498	498.000000	0	0
D:	65.83	498	498.000000	0	0
D:	66.35	498	498.000000	0	0
D:	66.89	498	498.000000	0	0
D:	67.41	498	498.000000	0	0
D:	67.93	498	498.000000	0	0
D:	68.45	498	498.000000	0	0
D:	68.98	498	498.000000	0	0
D:	69.55	498	498.000000	0	0
D:	70.09	498	498.000000	0	0
D:	70.61	498	498.000000	0	0
D:	71.14	498	498.000000	0	0
D:	71.66	498	498.000000	0	0
D:	72.22	498	498.000000	0	0
